"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"in25","Tasmanian Museum and Art Gallery","","Records provided by Tasmanian Museum and Art Gallery, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in25","","","","2"
"dp47","Australian Seed Bank Partnership","","Records provided by Australian Seed Bank Partnership, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp47","","","","1"
"co55","National Herbarium of Victoria","","Records provided by National Herbarium of Victoria, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co55","","","","8"
"co12","Australian National Herbarium","","Records provided by Australian National Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co12","","","","22"
"dr15772","Janet Cosh Herbarium (WOLL) AVH data","10.15468/vqth7r","Records provided by Janet Cosh Herbarium (WOLL) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15772","","","","4"
"dp42","Global Biodiversity Information Facility","","Records provided by Global Biodiversity Information Facility, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp42","","","","103"
"co54","National Herbarium of New South Wales","","Records provided by National Herbarium of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co54","","","","294"
"dp2048","ClimateWatch","","Records provided by ClimateWatch, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp2048","","","","94"
"in5","Centre for Australian National Biodiversity Research","","Records provided by Centre for Australian National Biodiversity Research, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in5","","","","22"
"in50","The Royal Botanic Gardens & Domain Trust","","Records provided by The Royal Botanic Gardens & Domain Trust, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in50","","","","294"
"dr23110","Australian PlantBank","10.15468/966wqr","Records provided by Australian PlantBank, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)) Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0) 
        Creative Commons Attribution (Australia) (CC-BY 3.0 (Au) 3.0)","For more information: https://collections.ala.org.au/public/show/dr23110","","","","1"
"dr376","National Herbarium of Victoria (MEL) AVH data","10.15468/rhzrxw","Records provided by National Herbarium of Victoria (MEL) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr376","","","","8"
"dr1902","Earth Guardians Weekly Feed","10.15468/slqqt8","Records provided by Earth Guardians Weekly Feed, accessed through ALA website.","Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1902","","","","37"
"dr16072","Crofton weed biocontrol","10.15468/26b7mh","Crofton weed gall fly: Australian BioControl Hub (2026) Crofton weed gall fly dataset
Crofton weed leaf-spot fungus : Australian BioControl Hub (2026) Crofton weed leaf-spot fungus dataset
Crofton weed rust fungus: Australian BioControl Hub (2026) Crofton weed rust fungus dataset
","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr16072","","","","1"
"co17","Australian Tropical Herbarium","","Records provided by Australian Tropical Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co17","","","","5"
"dp36","Australia's Virtual Herbarium","","Records provided by Australia's Virtual Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp36","","","","392"
"dr15861","NSW AVH feed","10.15468/jf3yae","Records provided by NSW AVH feed, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a
            Creative Commons Attribution (CC-BY) 4.0 License
             .","For more information: https://collections.ala.org.au/public/show/dr15861","","","","294"
"dp34","Department of Planning, Industry and Environment representing the State of New South Wales","","Records provided by Department of Planning, Industry and Environment representing the State of New South Wales, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp34","","","","1810"
"dr15860","Centre for Australian National Biodiversity Research (CANB) AVH data","10.15468/xycuk7","Records provided by Centre for Australian National Biodiversity Research (CANB) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15860","","","","22"
"dr15867","Australian Tropical Herbarium (CNS) AVH data","10.15468/xunb57","Records provided by Australian Tropical Herbarium (CNS) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15867","","","","5"
"dr10574","Tasmanian Herbarium (HO) AVH data","10.15468/8wmoeb","Tasmanian Herbarium, Tasmanian Museum and Art Gallery. PO Box 5058, UTAS LPO, Sandy Bay 7005, Tasmania, Australia. https://www.tmag.tas.gov.au/","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) You are licensed to use, reproduce, distribute, publish or otherwise make available the Data, or to use or adapt the Data to create derivative works.

In any reproduction, distribution or publication of the Data, you must attribute the source of the Data as Australia's Virtual Herbarium (AVH).

In any use or adaptation of the Data to create derivative works, you must acknowledge the use of the Data in the derivative work and attribute the source of the Data as Australia's Virtual Herbarium (AVH).

You acknowledge that the Data may contain errors and omissions and that you employ the Data at your own risk.

Neither the Council of Heads of Australasian Herbaria (CHAH) nor any other Data Custodian will accept liability for any loss, damage, cost or expenses that you may incur as a result of the use of or reliance upon the Data.

You should use the current Data from the ALA portal and not rely on material you have previously printed or downloaded.","For more information: https://collections.ala.org.au/public/show/dr10574","","","","2"
"dr15865","AD AVH Data","10.15468/z6vaed","Records provided by AD AVH Data, accessed through ALA website.","This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15865","","","","6"
"dr22512","Pl@ntNet automatically identified occurrences","10.15468/mma2ec","AFFOUARD A, JOLY A, LOMBARDO J, CHAMP J, GOEAU H, CHOUET M, GRESSE H, BOTELLA C, BONNET P (2023). Pl@ntNet automatically identified occurrences. Version 1.8. Pl@ntNet. Occurrence dataset https://doi.org/10.15468/mma2ec accessed via GBIF.org on 2024-12-19.","CC BY","For more information: https://collections.ala.org.au/public/show/dr22512","","","","102"
"dr15869","La Trobe University Herbarium (LTB) AVH data","10.15468/khpvn8","Records provided by La Trobe University Herbarium (LTB) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr15869","","","","5"
"dr2287","BRI AVH Data and Images","10.15468/jsffsa","Records provided by BRI AVH Data and Images, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr2287","","","","5"
"dr29794","WeedScan","10.15468/rtrnfb","Records provided by WeedScan, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr29794","","","","2"
"in42","Queensland Department of the Environment, Tourism, Science and Innovation","","Records provided by Queensland Department of the Environment, Tourism, Science and Innovation, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in42","","","","5"
"dr368","NSW BioNet Atlas","10.15468/14jd9g","BioNet Species Sightings occurrence data held by the NSW Office of Environment and Heritage (OEH).   The BioNet repository holds data from a number of sources and custodians. (Accessed through ALA Data Portal,<Date of Access>).","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr368","","","","1810"
"in41","Department for Environment and Water","","Records provided by Department for Environment and Water, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in41","","","","6"
"dr364","ALA species sightings and OzAtlas","10.15468/jayxmn","Individual sighting: Atlas of Living Australia (2025) Individual sighting dataset
Test sighting: Atlas of Living Australia (2025) Test sighting dataset
","CC-BY","For more information: https://collections.ala.org.au/public/show/dr364","","","","2"
"in47","University of Wollongong","","Records provided by University of Wollongong, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/in47","","","","4"
"dr15870","NCW Beadle Herbarium AVH Data","10.15468/7t5ghf","NE-db (year). N.C.W. Beadle Herbarium (NE) database (NE-db), https://ncw-beadleherbarium.une.edu.au/, accessed [day month year].
 
And/or acknowledge use of the data as follows:
 
I/we acknowledge access and use of data from the N.C.W. Beadle Herbarium (NE) database (NE-db).","This work is licensed under a Creative Commons Attribution (CC-BY 4.0) License.","For more information: https://collections.ala.org.au/public/show/dr15870","","","","16"
"co48","State Herbarium of South Australia","","Records provided by State Herbarium of South Australia, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co48","","","","6"
"co49","Queensland Herbarium","","Records provided by Queensland Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co49","","","","5"
"co33","La Trobe University Herbarium","","Records provided by La Trobe University Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co33","","","","5"
"dr22525","Royal Botanic Gardens, Kew - Herbarium Specimens","10.15468/ly60bx","Royal Botanic Gardens, Kew (2024). Royal Botanic Gardens, Kew - Herbarium Specimens. Occurrence dataset https://doi.org/10.15468/ly60bx accessed via GBIF.org on 2024-12-12.","CC BY","For more information: https://collections.ala.org.au/public/show/dr22525","","","","1"
"dr14787","John T. Waterhouse Herbarium (UNSW) AVH data","10.15468/3r76br","Records provided by John T. Waterhouse Herbarium (UNSW) AVH data, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collections.ala.org.au/public/show/dr14787","","","","25"
"co72","The Janet Cosh Herbarium","","Records provided by The Janet Cosh Herbarium, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co72","","","","4"
"dr30985","The Dead Tree Detective","","Dead Tree Detective: Western Sydney University (2025) Dead Tree Detective dataset
","other","For more information: https://collections.ala.org.au/public/show/dr30985","","","","1"
